Resumen,Clave de incidencia,ID de la incidencia,Tipo de Incidencia,Estado,Clave del proyecto,Nombre del proyecto,Tipo de proyecto,Responsable del proyecto,ID del responsable del proyecto,Descripción del proyecto,Prioridad,Resolución,Persona asignada,ID de la persona asignada,Informador,ID del informador,Creador,ID del creador,Creada,Actualizada,Vista por Última Vez,Resuelta,Fecha de vencimiento,Votos,Etiquetas,Etiquetas,Etiquetas,Etiquetas,Etiquetas,Etiquetas,Descripción,Entorno,Interesados,Interesados,ID de los interesados,ID de los interesados,Estimación original,Trabajo restante estimado,Tiempo Trabajado,Relación de trabajo,Σ Estimación original,Σ Trabajo restante estimado,Σ Tiempo empleado,Nivel de Seguridad,Enlace a la incidencia interna (Blocks),Enlace a la incidencia interna (Blocks),Enlace a la incidencia interna (Blocks),Enlace de incidencia saliente (Blocks),Adjunto,Adjunto,Campo personalizado (Clasificación),Campo personalizado (Color de la incidencia),Campo personalizado (Fecha de inicio),Campo personalizado (Metas),Sprint,Sprint,Sprint,Campo personalizado (Story point estimate),Campo personalizado (Team),Campo personalizado (Vulnerabilidad),Campo personalizado (development),Comentario,Comentario,Comentario,Comentario,Categoría de estado,Categoría de estado cambiada,Principal,Clave principal,Parent summary
Carga de maestras y información de configuración para bots,SD-22,10053,Tarea,Finalizada,SD,Servimax-Desarrollo,software,John Arévalo,712020:fa2cab61-84d5-4706-9655-e8307b63b5bb,,Medium,Listo,Jeferson David Camero Garcia,637f8d9e77acd224b33e8acc,Jeferson David Camero Garcia,637f8d9e77acd224b33e8acc,Jeferson David Camero Garcia,637f8d9e77acd224b33e8acc,07/abr/26 8:28 PM,21/abr/26 4:29 PM,,07/abr/26 8:28 PM,,0,,,,,,,,,Jeferson David Camero Garcia,,637f8d9e77acd224b33e8acc,,,,,,,,,,,,,,,,0|i0004z:,,,,Sprint 3,,,1.0,,,,,,,,Listo,07/abr/26 8:28 PM,,,
Integración de bots con arquitectura escalable para nuevo grupo de segmento de refrigerados,SD-21,10052,Tarea,Finalizada,SD,Servimax-Desarrollo,software,John Arévalo,712020:fa2cab61-84d5-4706-9655-e8307b63b5bb,,Medium,Listo,Jeferson David Camero Garcia,637f8d9e77acd224b33e8acc,Jeferson David Camero Garcia,637f8d9e77acd224b33e8acc,Jeferson David Camero Garcia,637f8d9e77acd224b33e8acc,07/abr/26 8:27 PM,21/abr/26 4:29 PM,,21/abr/26 2:32 PM,,0,,,,,,,,,Jeferson David Camero Garcia,,637f8d9e77acd224b33e8acc,,,,,,,,,,,,,,,,0|i00053:,,,,Sprint 3,,,5.0,,,,,,,,Listo,21/abr/26 2:32 PM,,,
"Módulo completo de devoluciones con sincronización automática a EForce, simulación previa y aprobación por producto",SD-23,10086,Tarea,Finalizada,SD,Servimax-Desarrollo,software,John Arévalo,712020:fa2cab61-84d5-4706-9655-e8307b63b5bb,,Medium,Listo,Jeferson David Camero Garcia,637f8d9e77acd224b33e8acc,Jeferson David Camero Garcia,637f8d9e77acd224b33e8acc,Jeferson David Camero Garcia,637f8d9e77acd224b33e8acc,21/abr/26 2:52 PM,21/abr/26 3:00 PM,,21/abr/26 3:00 PM,,0,,,,,,,,,Jeferson David Camero Garcia,,637f8d9e77acd224b33e8acc,,,,,,,,,,,,,,,,0|i0005b:,,,,Sprint 3,,,5.0,,,,,,,,Listo,21/abr/26 3:00 PM,,,
"Seguimiento en vivo de conductores con mapa, galería de evidencias y listado lateral por fecha",SD-24,10087,Tarea,Finalizada,SD,Servimax-Desarrollo,software,John Arévalo,712020:fa2cab61-84d5-4706-9655-e8307b63b5bb,,Medium,Listo,Jeferson David Camero Garcia,637f8d9e77acd224b33e8acc,Jeferson David Camero Garcia,637f8d9e77acd224b33e8acc,Jeferson David Camero Garcia,637f8d9e77acd224b33e8acc,21/abr/26 2:55 PM,21/abr/26 3:01 PM,,21/abr/26 3:01 PM,,0,,,,,,,"Los despachadores ven en un mapa dónde está cada conductor, qué entregas ya hizo, cuáles están pendientes y las fotos de evidencia de cada entrega o devolución, sin tener que llamar al conductor. Al lado del mapa hay una lista de todos los conductores del día — con un clic cambian entre uno y otro. Las fotos se cargan rápido y son accesibles solo para usuarios autorizados (no quedan públicas en internet).",,Jeferson David Camero Garcia,,637f8d9e77acd224b33e8acc,,,,,,,,,,,,,,,,0|i0005j:,,,,Sprint 3,,,5.0,,,,,,,,Listo,21/abr/26 3:01 PM,,,
Sistema de nómina configurable por grupo/segmento con calculadora semanal en vivo y overrides por conductor,SD-25,10088,Tarea,Finalizada,SD,Servimax-Desarrollo,software,John Arévalo,712020:fa2cab61-84d5-4706-9655-e8307b63b5bb,,Medium,Listo,Jeferson David Camero Garcia,637f8d9e77acd224b33e8acc,Jeferson David Camero Garcia,637f8d9e77acd224b33e8acc,Jeferson David Camero Garcia,637f8d9e77acd224b33e8acc,21/abr/26 2:57 PM,21/abr/26 3:01 PM,,21/abr/26 3:01 PM,,0,,,,,,,"El contador/admin/gerente configura las tarifas base, bonos, auxilio de transporte e inspección desde una pantalla — ya no pide cambios al programador. Si un conductor puntual tiene un acuerdo diferente, ajusta solo su tarifa con un editor dentro del reporte mensual. La calculadora muestra la liquidación semanal con los datos del ERP al día de hoy, no hay que esperar al cierre mensual. Los waybills que son ajustes de inventario (muy pocos bills) se excluyen automáticamente del incentivo — el conductor ya no cobra bono por movimientos internos.",,Jeferson David Camero Garcia,,637f8d9e77acd224b33e8acc,,,,,,,,,,,,,,,,0|i0005r:,,,,Sprint 3,,,2.0,,,,,,,,Listo,21/abr/26 3:01 PM,,,
Análisis de ruta con detección automática de pedidos duplicados por valor y productos,SD-26,10089,Tarea,Finalizada,SD,Servimax-Desarrollo,software,John Arévalo,712020:fa2cab61-84d5-4706-9655-e8307b63b5bb,,Medium,Listo,Jeferson David Camero Garcia,637f8d9e77acd224b33e8acc,Jeferson David Camero Garcia,637f8d9e77acd224b33e8acc,Jeferson David Camero Garcia,637f8d9e77acd224b33e8acc,21/abr/26 2:58 PM,21/abr/26 3:01 PM,,21/abr/26 3:01 PM,,0,,,,,,,"Cuando el supervisor revisa una ruta, el sistema marca con un ícono los pedidos que parecen repetidos (mismo cliente, mismo valor, mismos productos). Así se detectan antes de liquidar errores humanos de doble captura o intentos de cobrar dos veces por el mismo pedido. El dashboard muestra cuántos duplicados hay en el día y permite filtrar para verlos directamente.",,Jeferson David Camero Garcia,,637f8d9e77acd224b33e8acc,,,,,,,,,,,,,,,,0|i0005z:,,,,Sprint 3,,,2.0,,,,,,,,Listo,21/abr/26 3:01 PM,,,
Gestión de fotos y firmas de conductores con actualización automática en registros duplicados,SD-27,10090,Tarea,Finalizada,SD,Servimax-Desarrollo,software,John Arévalo,712020:fa2cab61-84d5-4706-9655-e8307b63b5bb,,Medium,Listo,Jeferson David Camero Garcia,637f8d9e77acd224b33e8acc,Jeferson David Camero Garcia,637f8d9e77acd224b33e8acc,Jeferson David Camero Garcia,637f8d9e77acd224b33e8acc,21/abr/26 2:59 PM,21/abr/26 3:01 PM,,21/abr/26 3:01 PM,,0,,,,,,,"Cuando un empleado tiene varios registros en el sistema (por cambios de cédula, reingresos, etc.), eliminar la foto desde uno borra la foto en todos los demás automáticamente. Si un registro no tiene foto, el sistema muestra la de un registro hermano del mismo empleado. Si la carga falla, RRHH ve el error real y no un mensaje genérico.",,Jeferson David Camero Garcia,,637f8d9e77acd224b33e8acc,,,,,,,,,,,,,,,,0|i00067:,,,,Sprint 3,,,5.0,,,,,,,,Listo,21/abr/26 3:01 PM,,,
"[SRV-005] Reparar Customer.lat/lng del ""mock point"" en la maestra",SD-33,10128,Historia,Finalizada,SD,Servimax-Desarrollo,software,John Arévalo,712020:fa2cab61-84d5-4706-9655-e8307b63b5bb,,Medium,Listo,Jeferson David Camero Garcia,637f8d9e77acd224b33e8acc,Jeferson David Camero Garcia,637f8d9e77acd224b33e8acc,Jeferson David Camero Garcia,637f8d9e77acd224b33e8acc,26/may/26 10:42 AM,01/jul/26 8:15 AM,03/jun/26 12:55 PM,03/jun/26 12:55 PM,,0,customer-master,devoluciones,roadmap-2026,sprint-01,tech-debt,track-product,"h2. Como *asesor/admin que mira el mapa de calor* quiero que mis ~4.800 clientes ""geocodificados"" en el mock point (4,575931… / -74,116205) se pinten en sus coordenadas reales, para que el mapa muestre la ruta verdadera y no un punto gigante en una calle aleatoria.

h3. Contexto

Diagnosticado el 2026-05-23: ~33% de los clientes G1 tienen {{lat/lng}} igual al {{KNOWN_MOCK_POINT}} que el pipeline de compilados estampó por error. La coordenada real está en {{Customer.coordinates_raw}}. Esto también afecta la validación geográfica de entregas (compilados marca REVIEW por distancias contra el mock).

h3. Tareas

* ☐ {{apps/customers/management/commands/repair_customer_geo.py}}

      con {{--dry-run}} y {{--limit N}}.

* ☐ Para cada Customer con {{lat ≈ MOCK ± 1e-6}}: re-derivar

      {{lat/lng/geo_quality}} desde {{coordinates_raw}} via       {{parse_coordinates_raw}}.

* ☐ Validar contra bounding box Colombia (-4.3 ≤ lat ≤ 13.5,

      -79.1 ≤ lng ≤ -66.8); fuera → {{geo_quality=INVALID}}.

* ☐ Investigar qué proceso estampó el mock originalmente (revisar

      {{geo_last_verified_at}} cluster). Fix preventivo.

* ☐ Correr en dry-run en prod, reportar contadores, luego en real.

h3. Criterios de aceptación

* ☐ Tras correrlo: 0 customers con {{lat == MOCK_LAT}} Y

      {{geo_quality == VALID}}.

* ☐ El advisor map ({{/advisor/me/dashboard}}) muestra más puntos

      distintos para los asesores afectados (verificar 10520, 10514,       10513).

* ☐ El proceso que causaba la corrupción está identificado y

      mitigado.

h3. Notas técnicas

* Ver {{apps/regional_sync/delivery_compilations/services/customer_geo_service.py:27}}

  para {{KNOWN_MOCK_POINT}}.

* Reutilizar {{apps/customers/services/geo_normalization.parse_coordinates_raw}}.
* El advisor view ya tiene un workaround (lee {{coordinates_raw}}

  directamente), pero los compilados siguen rotos.",,Jeferson David Camero Garcia,,637f8d9e77acd224b33e8acc,,,,,,,,,,,,,,,,0|i0007j:,,,,Sprint 2 Gestión operativa AUT,Sprint 1 · Estabilización,Sprint 2,5.0,,,,,,,,Listo,03/jun/26 12:55 PM,10123,SD-28,[ROADMAP-2026] Hoja de ruta tecnológica 2026
[SRV-072] Obsidian inicial — estructura + 6 carpetas + plantillas,SD-100,10195,Historia,Finalizada,SD,Servimax-Desarrollo,software,John Arévalo,712020:fa2cab61-84d5-4706-9655-e8307b63b5bb,,Medium,Listo,Miguel Aguirre,712020:21313d0b-8fc1-47f7-a84d-cb21970b5a46,Jeferson David Camero Garcia,637f8d9e77acd224b33e8acc,Jeferson David Camero Garcia,637f8d9e77acd224b33e8acc,26/may/26 10:44 AM,01/jul/26 8:15 AM,11/jun/26 11:28 AM,12/jun/26 7:48 AM,,0,cultura,engram,roadmap-2026,sprint-01,track-platform,,"h2. Como *cualquier persona del equipo* quiero una bóveda de conocimiento centralizada (Engram) con estructura clara para arquitectura, runbooks, onboarding, negocio, incidentes y roadmap, para encontrar respuesta a casi cualquier pregunta sin tener que escribirle al lead por Slack.

h3. Contexto

Hito 5 del Foco Servimax Online + Acción inmediata #4 del deck (Slide 35). Engram es donde viven los catálogos de servicios (SRV-057), los runbooks (SRV-065), los ADRs (SRV-067), el onboarding de nuevos devs. Sin esto, todas las demás historias de ""documentar"" no tienen dónde aterrizar.

h3. Tareas

* ☐ Decidir herramienta: Obsidian self-hosted, Notion, GitHub

      Wiki, MkDocs, Engram propio.

* ☐ Crear estructura inicial de 6 carpetas:

      {{arquitectura/}} {{runbooks/}} {{onboarding/}} {{negocio/}}       {{incidentes/}} {{roadmap/}}.

* ☐ Plantilla para cada tipo de página.
* ☐ Onboarding doc de cómo usarlo.
* ☐ Compartir con todo el equipo.

h3. Criterios de aceptación

* ☐ Engram existe y es accesible para el equipo.
* ☐ Cada carpeta tiene al menos 1 doc de muestra.

h3. Notas técnicas

* Costo cero ideal — MkDocs en GCS o GitHub Wiki es buena salida.",,Jeferson David Camero Garcia,,637f8d9e77acd224b33e8acc,,,,,,,,,,,,,,12/jun/26 7:47 AM;ug:5bb3e9ab-399f-4113-a556-c070c9c45366;Documentación de Obsidian.odt;https://servimax-team.atlassian.net/rest/api/3/attachment/content/10101,11/jun/26 4:03 PM;ug:5bb3e9ab-399f-4113-a556-c070c9c45366;Servimax Test Obsidian.zip;https://servimax-team.atlassian.net/rest/api/3/attachment/content/10066,0|i000mf:,,,,Sprint 2 Gestión operativa AUT,Sprint 1 · Estabilización,Sprint 2,3.0,,,,,,,,Listo,12/jun/26 7:48 AM,10123,SD-28,[ROADMAP-2026] Hoja de ruta tecnológica 2026
Plantilla para priorizar tareas Admin,SD-181,10791,Historia,Tareas por hacer,SD,Servimax-Desarrollo,software,John Arévalo,712020:fa2cab61-84d5-4706-9655-e8307b63b5bb,,Medium,,Jeferson David Camero Garcia,637f8d9e77acd224b33e8acc,Jeferson David Camero Garcia,637f8d9e77acd224b33e8acc,Jeferson David Camero Garcia,637f8d9e77acd224b33e8acc,30/jun/26 11:55 AM,01/jul/26 8:25 AM,02/jul/26 7:17 AM,,,0,,,,,,,"Como GG quiero capturar, clasificar, priorizar y delegar tareas con deadline, verlas por día/hora, sincronizarlas con Google Calendar y registrar su cumplimiento, para gestionar mi trabajo y el de mis jefaturas sin perder el norte.

*Criterios de aceptación:* captura libre en Caja → clasificación (Entrante/Mes/Inmediato/Proceso/Delegar) + prioridad + deadline → tablero propio con semáforo de vencimiento → delegación a Fronts por departamento (jefe edita lo suyo, no lo asignado) → vista semanal día×hora → botón para agendar en Google Calendar (por área) → registro automático de fecha de cierre y cumplimiento a tiempo/tarde.[^Tablero_Gerencia_y_Delegacion.xlsx] ",,Jeferson David Camero Garcia,,637f8d9e77acd224b33e8acc,,,,,,,,,,,,,,30/jun/26 3:17 PM;2450776d-4786-4c8e-b80c-0d51bbfbc77d;Tablero_Gerencia_y_Delegacion.xlsx;https://servimax-team.atlassian.net/rest/api/3/attachment/content/10234,,0|i000nl:,,,,Sprint 4 · Asesores (pg2),,,5.0,,,,,,,,Por hacer,30/jun/26 11:55 AM,10123,SD-28,[ROADMAP-2026] Hoja de ruta tecnológica 2026
Parametrizar planillas de mensajes masivos Meta & Notificaciones push,SD-182,10824,Historia,Tareas por hacer,SD,Servimax-Desarrollo,software,John Arévalo,712020:fa2cab61-84d5-4706-9655-e8307b63b5bb,,Medium,,Jeferson David Camero Garcia,637f8d9e77acd224b33e8acc,Jeferson David Camero Garcia,637f8d9e77acd224b33e8acc,Jeferson David Camero Garcia,637f8d9e77acd224b33e8acc,30/jun/26 12:42 PM,01/jul/26 8:25 AM,30/jun/26 12:47 PM,,,0,,,,,,,,,Jeferson David Camero Garcia,,637f8d9e77acd224b33e8acc,,,,,,,,,,,,,,,,0|i000nm:,,,,Sprint 4 · Asesores (pg2),,,,,,,,,,,Por hacer,30/jun/26 12:42 PM,10123,SD-28,[ROADMAP-2026] Hoja de ruta tecnológica 2026
"Mensajes planos no se envian ""Archivo rechazado porque falló la validación"" Procter and Gamble",SD-183,10857,Historia,Tareas por hacer,SD,Servimax-Desarrollo,software,John Arévalo,712020:fa2cab61-84d5-4706-9655-e8307b63b5bb,,Medium,,cristian_gaitan,712020:f058778d-a445-48b5-8da6-2d090ec2cdb9,Jeferson David Camero Garcia,637f8d9e77acd224b33e8acc,Jeferson David Camero Garcia,637f8d9e77acd224b33e8acc,30/jun/26 1:07 PM,01/jul/26 8:25 AM,30/jun/26 1:08 PM,,,0,,,,,,,,,Jeferson David Camero Garcia,,637f8d9e77acd224b33e8acc,,,,,,,,,,,,,,,,0|i000nm:i,,,,Sprint 4 · Asesores (pg2),,,,,,,,,,,Por hacer,30/jun/26 1:07 PM,10123,SD-28,[ROADMAP-2026] Hoja de ruta tecnológica 2026
Creación de modulo de Polla pronosticos de partidos y recompensa de Serviplata,SD-184,10890,Historia,Tareas por hacer,SD,Servimax-Desarrollo,software,John Arévalo,712020:fa2cab61-84d5-4706-9655-e8307b63b5bb,,Medium,,Jeferson David Camero Garcia,637f8d9e77acd224b33e8acc,Jeferson David Camero Garcia,637f8d9e77acd224b33e8acc,Jeferson David Camero Garcia,637f8d9e77acd224b33e8acc,30/jun/26 1:45 PM,01/jul/26 8:25 AM,30/jun/26 1:45 PM,,,0,,,,,,,,,Jeferson David Camero Garcia,,637f8d9e77acd224b33e8acc,,,,,,,,,,,,,,,,0|i000nm:r,,,,Sprint 4 · Asesores (pg2),,,,,,,,,,,Por hacer,30/jun/26 1:45 PM,10123,SD-28,[ROADMAP-2026] Hoja de ruta tecnológica 2026
[SRV-104] Estudio de Bot automatizado de facturación Tenderos / consumo general y refrigerados,SD-132,10259,Historia,Finalizada,SD,Servimax-Desarrollo,software,John Arévalo,712020:fa2cab61-84d5-4706-9655-e8307b63b5bb,,Medium,Listo,Jeferson David Camero Garcia,637f8d9e77acd224b33e8acc,Jeferson David Camero Garcia,637f8d9e77acd224b33e8acc,Jeferson David Camero Garcia,637f8d9e77acd224b33e8acc,26/may/26 1:45 PM,01/jul/26 8:25 AM,27/may/26 8:57 AM,30/jun/26 9:28 AM,,0,bot-facturacion,control-despacho,roadmap-2026,sprint-03,track-despacho-flow,,"h2. Como *lead de tecnología* quiero un bot dedicado para facturar pedidos de consumo general (que no tiene hoy un proceso robusto), análogo al bot de refrigerados, para eliminar la dependencia del proceso legacy actual.

h3. Contexto

El bot de facturación que mejoramos esta sesión solo cubre refrigerados. Para Tenderos/consumo general el proceso vive en legacy y procesa con prioridad inconsistente. Tener un bot Pegasus con la misma arquitectura (retry transitorios, alertas, métricas) resolvería el problema estructural.

h3. Tareas

* ☐ Análisis: ¿migración del proceso legacy o reescritura nativa?
* ☐ Si reescritura: model + worker + endpoint de ""facturar pedido""

      similar al de refrigerados.

* ☐ Lógica FIFO por fecha_entrega + prioridad configurable.
* ☐ Reutilizar {{_is_transient_browser_error}} y envoltura de

      reintentos.

* ☐ Métricas + alertas vía Sentry + Slack.
* ☐ Plan de cutover: doble corrida con el legacy por 1 semana.

h3. Criterios de aceptación

* ☐ Bot procesa 1000 pedidos en ambiente staging sin error.
* ☐ Métricas en panel admin (similar SRV-001).

h3. Notas técnicas

* Coordinar con SRV-099 — depende de entender el flujo primero.
* Esto es el paso definitivo. Mientras tanto, los SRV-100 / 103

  dan visibilidad sin tocar el legacy.",,Jeferson David Camero Garcia,,637f8d9e77acd224b33e8acc,,,,,,,,,,,,,SD-127,,,0|i000nm:zzi,,,,Sprint 4 · Asesores (pg2),,,5.0,,,,,,,,Listo,30/jun/26 9:28 AM,10123,SD-28,[ROADMAP-2026] Hoja de ruta tecnológica 2026
[SRV-054] Clonar 6 repos huérfanos a core_develop/,SD-82,10177,Historia,Finalizada,SD,Servimax-Desarrollo,software,John Arévalo,712020:fa2cab61-84d5-4706-9655-e8307b63b5bb,,Medium,Listo,Jeferson David Camero Garcia,637f8d9e77acd224b33e8acc,Jeferson David Camero Garcia,637f8d9e77acd224b33e8acc,Jeferson David Camero Garcia,637f8d9e77acd224b33e8acc,26/may/26 10:44 AM,01/jul/26 8:25 AM,,30/jun/26 9:26 AM,,0,gobernanza,legacy,roadmap-2026,sprint-01,track-platform,,"h2. Como *lead de tecnología* quiero los 6 repos huérfanos (sales, logistic, transversal, user, liveops, servimaxia) clonados localmente bajo {{core_develop/}}, para que cualquier dev pueda leer su código, hacer fixes y entender qué hacen.

h3. Contexto

Hito 1 del Foco Gobernanza (Slide 31). Hoy estos servicios corren en producción en la VM legacy pero el código no está en ningún laptop del equipo. Riesgo de gobernanza claro.

h3. Tareas

* ☐ Identificar dónde vive cada repo (GitHub privado por defecto).
* ☐ Acceso del lead a los 6 repos.
* ☐ {{git clone}} cada uno a {{core_develop/{nombre}}}.
* ☐ README mínimo en cada uno: stack, port, dueño,

      dependencias conocidas.

* ☐ Verificar que el código fuente corresponda a la imagen que

      corre en prod (al menos un endpoint de cada uno).

h3. Criterios de aceptación

* ☐ Los 6 repos están bajo {{core_develop/}}.
* ☐ Cada uno tiene README con stack + port + dueño.
* ☐ Verificado que {{sales}} (al menos) compila y construye.

h3. Notas técnicas

* Acción inmediata #3 del deck (Slide 35).
* Riesgo bloqueador: si los repos privados pertenecen a un ex-dev sin

  permisos delegados, hay que pedirle acceso primero.",,Jeferson David Camero Garcia,,637f8d9e77acd224b33e8acc,,,,,,,,,,SD-84,SD-85,SD-91,,,,0|i000nm:zzv,,,,Sprint 4 · Asesores (pg2),,,3.0,,,,,,,,Listo,30/jun/26 9:26 AM,10123,SD-28,[ROADMAP-2026] Hoja de ruta tecnológica 2026
[SRV-099] Investigación profunda flujo Pedido → Factura → Planilla → Entrega (consumo general),SD-127,10254,Historia,Tareas por hacer,SD,Servimax-Desarrollo,software,John Arévalo,712020:fa2cab61-84d5-4706-9655-e8307b63b5bb,,Medium,,Jeferson David Camero Garcia,637f8d9e77acd224b33e8acc,Jeferson David Camero Garcia,637f8d9e77acd224b33e8acc,Jeferson David Camero Garcia,637f8d9e77acd224b33e8acc,26/may/26 1:44 PM,01/jul/26 8:25 AM,,,,0,control-despacho,investigacion,roadmap-2026,sprint-01,tech-debt,track-despacho-flow,"h2. Como *lead de tecnología* quiero un documento exhaustivo del flujo Pedido → Factura → Planilla → Entrega para consumo general (Tenderos), para que cualquier dev pueda intervenir el flujo sin romperlo y para tener línea base antes de proponer cambios.

h3. Contexto

La investigación inicial del 2026-05-26 dejó preguntas abiertas:

* ¿Qué servicio del legacy (sales / etlnode / delivers / etlback)

  ejecuta efectivamente la facturación?

* ¿Cuál es el criterio de priorización?
* ¿Hay cron interno o se dispara por evento?
* ¿Cómo se conecta con Abako (SQL Server)?

h3. Tareas

* ☐ Diagrama de secuencia: pedido en app → CONFIRMADO → … →

      facturaGenerada llena → DESPACHADO.

* ☐ Identificar dueño de la lógica de facturación (qué servicio,

      qué endpoint, qué cron).

* ☐ Documentar el criterio de prioridad (PRESENCIAL vs

      FRECUENCIA, por fecha entrega, por sede).

* ☐ Listar todas las tablas tocadas: {{TRANSACCION}}, {{PEDIDO}},

      {{FACTURAS_ENTREGADAS}}, {{ESTADOS}}, {{ESTADO_PLANILLA}},       {{REGISTRO_TRANSACCIONES_DIGITALES}}.

* ☐ Cross-verificar con código en {{core_develop/sales}},

      {{etlnode}}, {{delivers}}.

* ☐ Doc final en Engram bajo {{arquitectura/flujo-facturacion-consumo-general.md}}.

h3. Criterios de aceptación

* ☐ Diagrama publicado.
* ☐ Cualquier dev puede leerlo y explicar qué pasa cuando un

      pedido nuevo entra.

h3. Notas técnicas

* Tablas verificadas el 2026-05-26: BOG = 976k transacciones,

  BOY = 386k transacciones, históricos.

* En MERCADERIA.TRANSACCION: 4849 pedidos CONFIRMADO en últimos 7d,

